DT_CODE,Area_Name,Age,Total_P,Total_M,Total_F,Rural,Rural_M,Rural_F,Urban,Urban_M,Urban_F
487,District - Narmada (20),10,14254,7392,6862,12986,6727,6259,1268,665,603
488,District - Bharuch (21),10,32256,16930,15326,21881,11312,10569,10375,5618,4757
489,District - The Dangs (22),10,6815,3420,3395,6203,3070,3133,612,350,262
490,District - Navsari   (23),10,23517,12356,11161,16578,8688,7890,6939,3668,3271
491,District - Valsad (24),10,36430,19073,17357,23980,12419,11561,12450,6654,5796
492,District - Surat (25),10,117423,65267,52156,25247,13276,11971,92176,51991,40185
493,District - Tapi (26),10,16425,8432,7993,14878,7594,7284,1547,838,709
468,District - Kachchh (01),11,43300,22892,20408,29416,15447,13969,13884,7445,6439
469,District - Banas Kantha (02),11,73211,39033,34178,64520,34197,30323,8691,4836,3855
470,District - Patan   (03),11,29336,15852,13484,24179,12972,11207,5157,2880,2277
471,District - Mahesana (04),11,39537,22021,17516,30264,16689,13575,9273,5332,3941
472,District - Sabar Kantha (05),11,51933,27785,24148,44733,23731,21002,7200,4054,3146
473,District - Gandhinagar (06),11,26340,14466,11874,15790,8499,7291,10550,5967,4583
474,District - Ahmadabad (07),11,137060,75572,61488,25773,13926,11847,111287,61646,49641
475,District - Surendranagar (08),11,38473,20728,17745,28964,15434,13530,9509,5294,4215
476,District - Rajkot (09),11,71446,38889,32557,32402,17204,15198,39044,21685,17359
477,District - Jamnagar (10),11,43920,23265,20655,25525,13446,12079,18395,9819,8576
478,District - Porbandar  (11),11,11920,6187,5733,6450,3344,3106,5470,2843,2627
479,District - Junagadh (12),11,58874,31207,27667,40466,21292,19174,18408,9915,8493
480,District - Amreli (13),11,30916,16400,14516,23332,12293,11039,7584,4107,3477
481,District - Bhavnagar (14),11,64298,34247,30051,40665,21445,19220,23633,12802,10831
482,District - Anand   (15),11,41968,22764,19204,30463,16525,13938,11505,6239,5266
483,District - Kheda (16),11,48530,26188,22342,38575,20783,17792,9955,5405,4550
484,District - Panch Mahals (17),11,54652,28349,26303,47604,24543,23061,7048,3806,3242
485,District - Dohad   (18),11,54419,27607,26812,50465,25603,24862,3954,2004,1950
486,District - Vadodara (19),11,80449,43238,37211,44393,23319,21074,36056,19919,16137
487,District - Narmada (20),11,13807,7138,6669,12524,6474,6050,1283,664,619
488,District - Bharuch (21),11,32122,16912,15210,22034,11436,10598,10088,5476,4612
489,District - The Dangs (22),11,6224,3261,2963,5484,2833,2651,740,428,312
490,District - Navsari   (23),11,23840,12425,11415,16860,8582,8278,6980,3843,3137
491,District - Valsad (24),11,34431,18198,16233,22859,11922,10937,11572,6276,5296
492,District - Surat (25),11,109267,60535,48732,24014,12611,11403,85253,47924,37329
493,District - Tapi (26),11,16318,8387,7931,14743,7527,7216,1575,860,715
468,District - Kachchh (01),12,44639,23420,21219,30448,15912,14536,14191,7508,6683
469,District - Banas Kantha (02),12,78858,41347,37511,69386,36108,33278,9472,5239,4233
470,District - Patan   (03),12,29984,16178,13806,24441,13106,11335,5543,3072,2471
471,District - Mahesana (04),12,40095,22279,17816,30635,16836,13799,9460,5443,4017
472,District - Sabar Kantha (05),12,52013,27552,24461,44699,23524,21175,7314,4028,3286
473,District - Gandhinagar (06),12,26704,14861,11843,15955,8775,7180,10749,6086,4663
474,District - Ahmadabad (07),12,133083,72960,60123,25443,13603,11840,107640,59357,48283
475,District - Surendranagar (08),12,39571,21139,18432,29674,15696,13978,9897,5443,4454
476,District - Rajkot (09),12,73403,39439,33964,33139,17385,15754,40264,22054,18210
477,District - Jamnagar (10),12,45812,24348,21464,26476,14029,12447,19336,10319,9017
478,District - Porbandar  (11),12,12221,6324,5897,6516,3317,3199,5705,3007,2698
479,District - Junagadh (12),12,60773,31698,29075,41275,21416,19859,19498,10282,9216
480,District - Amreli (13),12,32641,17021,15620,24423,12666,11757,8218,4355,3863
481,District - Bhavnagar (14),12,65541,34706,30835,41405,21607,19798,24136,13099,11037
